84897.8,-890514.7,245
107084,-897243.6,640-2
92118.4,-905081.2,037
106141.7,-909388.6,562
106055.6,-906675.9,551
105746.1,-905964.5,549
95174.7,-901272.1,146
90570.8,-905048.6,032
90877.5,-908103.7,016
104655.6,-909132.3,574
104142.5,-909582.1,573
101760.5,-909600.7,571
102012.9,-909004.3,570
102178.6,-905752.8,567
103477.1,-905819,566
106825.9,-907738.7,557
106310.8,-907520.7,556
106403.2,-907201.2,554
106127.1,-906950.9,552
105869.6,-906323.8,550
105427,-903946.8,548
105410.3,-903758.3,547
107226,-903173.8,546
106390.6,-903256.9,545
104477.3,-901927.4,542
97467.1,-902222.8,525
97458.9,-906737.1,513
92848.2,-909628,506
92878.1,-909431.8,505
92816.2,-908784.5,504
92684.2,-908356.4,503
92692.5,-907860.6,502
92993,-907716.3,501
93389.9,-907719.9,500
93775.2,-907706.1,499
94710.1,-907788.1,498
95479.6,-907651.4,497
95320.3,-907670.6,496
95175.6,-907679.8,495
95004,-907691.7,494
94875.7,-907815.6,493
94793.2,-908010.6,492
94377.8,-909632.7,490
94365.9,-909333,491
94564.5,-909625.8,489
95788.7,-907877.4,488
95922.9,-907690.4,487
95926.6,-907896,486
96102.1,-907932.4,485
96222.8,-907935.7,484
96249.9,-908202.8,483
96183.4,-909608.4,482
96296.9,-909609.9,481
101702.9,-909910.6,669
100054.5,-909890.8,667
97261.9,-906135,649
97290.6,-906239.1,650
97252.3,-906049,648
107093.5,-898495,638
106310.5,-901601.1,633
104696.9,-901437.9,629
98974.2,-901130.1,608
98511.8,-901136.8,606
97888.1,-900795.6,604
100751.5,-900684.8,600
101161.3,-898799.4,599
101154.6,-898576,598
101520,-896772.8,593
99834.7,-896798.8,590
90230.5,-908393.1,017
97405.8,-907071,511
97282.6,-908175.5,508
97364.6,-907436.8,510
97353.6,-906738,512
97291.2,-906440.7,514
97258.6,-906098,515
104830.1,-898056.5,641-1
104826,-897549.2,640
107087.6,-897745.8,640-1
107069.3,-898090.9,639
106993.7,-898941.2,637
106995.4,-899633.7,636
107055.9,-900463.8,635-1
107085.4,-900958.9,635
107124.7,-901797.8,634
105609.2,-901614,631
104964.8,-901681.8,630
104446.7,-901601.8,628
104948.5,-900965.3,644-1
